Departure Date,Sum_of_Revenue
2018-07-03,2526.51
2018-07-03,637.14
2018-07-06,5668.760000000001
2018-07-06,5668.760000000001
2018-06-29,240.95
2018-06-29,240.95
2018-07-05,1810.0
2018-07-05,1810.0
2018-07-05,1810.0
2018-07-02,222.0
2018-07-02,222.0
2018-07-02,222.0
2018-07-02,140.77
2018-07-15,4281.32
2018-07-15,4281.32
2018-07-15,6783.23
2018-07-15,6783.23
2018-07-09,2740.86
2018-07-09,2740.86
2018-07-03,991.07
2018-07-03,991.07
2018-06-29,603.48
2018-06-29,603.48
2018-07-02,220.24
2018-07-02,220.24
2018-07-02,360.0
2018-07-02,360.0
2018-07-03,360.0
2018-07-03,360.0
2018-06-29,513.81
2018-06-29,513.81
2018-07-02,606.05
2018-07-02,606.05
2018-06-29,643.83
2018-06-29,643.83
2018-07-02,492.21
2018-07-02,492.21
2018-06-29,265.0
2018-06-29,265.0
2018-07-04,355.0
2018-07-04,355.0
2018-07-04,355.0
2018-07-04,355.0
2018-07-05,355.0
2018-07-05,355.0
2018-07-05,355.0
2018-07-05,355.0
2018-07-06,525.0
2018-07-06,525.0
2018-07-02,289.0
2018-07-02,289.0
2018-07-03,289.0
2018-07-03,289.0
2018-07-03,289.0
2018-07-03,289.0
2018-07-03,310.0
2018-07-03,310.0
2018-07-02,310.0
2018-07-02,310.0
2018-07-01,529.39
2018-07-01,529.39
2018-07-03,310.0
2018-07-03,310.0
2018-07-05,310.0
2018-07-05,310.0
2018-07-02,261.0
2018-07-02,261.0
2018-07-04,261.0
2018-07-04,261.0
2018-07-03,268.0
2018-07-03,268.0
2018-07-04,268.0
2018-07-04,268.0
2018-07-05,360.0
2018-07-05,360.0
2018-06-29,475.0
2018-06-29,475.0
2018-07-03,360.0
2018-07-03,360.0
2018-07-02,325.0
2018-07-02,325.0
2018-07-02,310.0
2018-07-02,305.0
2018-07-04,2170.120000000001
2018-07-04,2170.120000000001
2018-07-09,7293.470000000002
2018-07-09,7293.470000000002
2018-07-08,7295.82
2018-07-08,7295.82
2018-07-03,2809.2700000000004
2018-07-03,2809.2700000000004
2018-07-27,2330.2000000000007
2018-07-27,2330.2000000000007
2018-09-21,2387.0
2018-09-21,2387.0
2018-08-31,3489.78
2018-08-31,3489.78
2018-07-13,4762.880000000001
2018-07-13,4762.880000000001
2018-07-02,587.5
2018-07-02,587.5
2018-07-02,322.1
2018-07-02,322.1
2018-07-04,1700.0
2018-07-19,10499.4
2018-07-19,10499.4
2018-07-04,1750.0
2018-07-04,1750.0
2018-07-05,1250.0
2018-07-04,1250.0
2018-07-04,1700.0
2018-07-04,1750.0
2018-07-04,1750.0
2018-07-05,1250.0
2018-07-06,3596.73
2018-07-06,3596.73
2018-07-05,1250.0
2018-07-02,222.0
2018-07-02,222.0
2018-07-02,222.0
2018-07-05,1250.0
2018-07-05,1700.0
2018-07-05,1750.0
2018-07-05,1750.0
2018-07-05,1250.0
2018-07-06,1250.0
2018-07-02,276.5
2018-07-02,276.5
2018-07-02,489.5
2018-07-02,489.5
2018-07-02,286.0
2018-07-02,286.0
2018-07-02,518.52
2018-07-02,518.52
2018-07-05,690.0
2018-07-04,690.0
2018-07-02,377.22
2018-07-02,377.22
2018-07-03,690.0
2018-07-02,690.0
2018-08-29,1425.0
2018-08-29,1425.0
2018-07-25,1135.0
2018-07-25,1135.0
2018-07-25,1135.0
2018-07-25,1135.0
2018-07-25,1135.0
2018-07-25,1135.0
2018-07-25,1135.0
2018-07-25,1135.0
2018-07-02,609.37
2018-07-02,609.37
2018-07-02,609.37
2018-07-02,609.37
2018-07-02,457.0
2018-07-02,457.0
2018-07-13,15600.0
2018-07-13,15600.0
2018-07-13,15600.0
2018-07-11,1654.0399999999993
2018-07-11,1654.0399999999993
2018-07-15,2626.4100000000008
2018-07-15,2626.4100000000008
